id,name,road_address,phone_number,latitude,longitude,rating,img_url,comment,restaurant_type,like,hate
0,한신치킨호프,서울특별시 서초구 신반포로23길 30,02-596-5990,37.5087331,127.0033392,4.3,https://mp-seoul-image-production-s3.mangoplate.com/486150_1506919871453718.jpg,"['치킨', '수제비', '칼국수', '양념', '동네', '사람', '맥주', '진짜', '후라이드', '자리', '메뉴', '여기', '느낌', '주문', '생각', '조합', '정도', '시원', '분위기', '한강', '안주', '양념치킨', '한신치킨', '맛집', '반포', '가격', '체인점', '뭔가', '국물', '포장마차', '생맥주', '후라이드치킨', '가게', '옛날', '우리', '곱창전골', '다음', '추천', '기대', '대합', '간판', '튀김옷', '기억', '주민', '바삭하', '방문', '근처', '반반', '야장', '항아리']",-,0,0
1,캔프 치킨,서울특별시 서초구 반포대로24길 96,02-521-1108,37.48883057,127.01403809,4.3,https://mp-seoul-image-production-s3.mangoplate.com/77643/749514_1584108404463_24009,"['치킨', '양념', '치킨집', '프랜차이즈', '블랙치킨', '마리', '캔프', '고추', '느낌', '리뷰', '맥주', '메뉴', '필요', '분위기', '사이즈', '방문', '탄산수', '사장님', '웨이팅', '고데리', '하나', '별미', '자리', '입맛', '교대', '직원분', '주문', '특이', '진짜']",-,0,0
2,효도치킨,서울특별시 용산구 대사관로 20,02-792-0628,37.5340915,127.0005135,4.3,https://mp-seoul-image-production-s3.mangoplate.com/1366958_1639797010044615.jpg,"['치킨', '효도', '꽈리멸', '생각', '효도치킨', '맥주', '양념', '메뉴', '꼬뱅', '소스', '조합', '레드락', '꼬막', '방문', '샐러드', '꽈리고추', '바삭', '무침', '멸치', '게더링', '연근', '위트', '연근튀김', '양념치킨', '느낌', '정도', '후라이드', '제주', '튀김옷', '골뱅', '골뱅이', '반반', '주문', '음식', '깔끔', '일반', '반반치킨', '생맥주', '사이드', '버거', '개더링', '은근', '식감', '안주', '간장', '고마워치킨', '매콤한', '홀릭', '고.마', '생맥']",-,0,0
3,서울치킨,대전광역시 중구 중앙로112번길 34,042-252-7333,36.32596588,127.4230652,4.2,https://mp-seoul-image-production-s3.mangoplate.com/46651_1650181475975343.jpg,"['양념', '후라이드', '중구청', '매장', '프랜차이즈', '치킨', '추천', '포장', '반반', '느낌', '사람', '대전', '중앙시장점', '저녁', '서울치킨', '뭔가', '양념치킨']",-,0,0
4,대오통닭,인천광역시 미추홀구 경인로326번길 75,032-863-8992,37.4552796,126.6758013,4.1,https://mp-seoul-image-production-s3.mangoplate.com/212344/743008_1573354229299_9891,"['닭강정', '강정', '대오통닭', '매운맛', '방문', '예약', '인천', '가게', '주문', '전화', '시간', '생각', '주안닭강정', '느낌', '한마리', '정도', '치킨', '표현', '양념치킨', '과자', '처음', '마감', '냄새', '이번', '포장', '튀김옷', '리뷰', '닭강정집', '도착', '첫번', '달달하', '달달한', '맛동산', '만석닭강정', '원조', '유명', '픽업', '비교', '전활하는데', '마지막', '일반', '양념', '신포닭강정', '가격', '예전', '닭집', '생선가게']",-,0,0
5,중앙닭강정,강원도 속초시 중앙로147번길 16,033-632-3511,38.20432471,128.59005928,4.0,https://mp-seoul-image-production-s3.mangoplate.com/137851/1440124_1642670483381_14216,"['닭강정', '만석', '중앙', '중앙닭강정', '만석닭강정', '매운맛', '순살', '보통맛', '양념', '유명', '소스', '포장', '진짜', '정도', '입맛', '튀김옷', '중앙시장', '여기', '고추', '사람', '추천', '자체', '생각', '시장', '이번', '매콤한', '단맛', '다음날', '치킨', '박스', '비교', '기억', '자리', '부분', '바삭한', '여행', '물엿', '시간', '용평리조트', '상자', '선택', '식감', '후라이드', '주문', '판매', '구입', '자극적', '이거', '택배', '장점']",-,0,0
6,행복치킨,경기도 성남시 분당구 정자일로232번길 25,031-715-9972,37.36941314,127.10745202,4.0,https://mp-seoul-image-production-s3.mangoplate.com/313740_1616409621948713.jpg,"['치킨', '파닭', '튀김옷', '후라이드', '진짜', '치킨집', '사람', '소스', '유명', '최고', '순살', '여기', '양념', '닭강정', '간장', '주문', '동네', '순살닭강정', '튀김', '행복', '방문', '맥주', '생각', '분당', '정자역', '행복치킨', '완전', '인기', '정자동', '정도', '맛집', '특별', '깨끗', '조합', '지하', '바삭함', '이유', '순살파닭', '오늘', '느낌', '간장소스', '평범', '평점', '치맥', '근데', '리뷰', '친절', '웨이팅', '추천', '깔끔']",-,0,0
7,용성통닭,경기도 수원시 팔달구 정조로800번길 15,031-242-8226,37.2796167,127.0176156,4.0,https://mp-seoul-image-production-s3.mangoplate.com/13367/1066821_1607918739525_40865,"['치킨', '후라이드', '사람', '왕갈비통닭', '통닭', '닭똥집', '수원', '통닭골목', '닭발', '양념', '왕갈비', '포장', '양념치킨', '주말', '주문', '맛집', '바삭하', '생각', '용성통닭', '진미통닭', '서비스', '후라이드반', '닭발튀김', '진짜', '때문', '친구', '위치', '유명', '가격', '구분', '한마리', '갈비통닭', '자체', '비슷', '수준', '깨끗', '고소', '바삭바삭하', '치킨맛', '특별', '분위기', '추천', '매장', '하나', '여기']",-,0,0
8,푸세울닭,서울특별시 강남구 영동대로 510,02-568-7806,37.51047591,127.06277032,4.0,https://mp-seoul-image-production-s3.mangoplate.com/460278_1610849741688539.jpg,"['치킨', '생맥주', '맥주', '치킨집', '양념', '후라이드', '방문', '튀김옷', '사장님', '느낌', '이름', '청량감', '보관', '양념치킨', '푸세울닭', '시원', '후라이드치킨', '시간', '사용', '건강', '깨끗', '최고', '매장', '통닭', '생각', '정도', '가게', '냄새', '모금', '조미료', '이집', '자연', '이곳', '손님', '주문', '깔끔', '담백', '양배추', '관리', '때문', '청결', '옛날', '림스치킨', '껍질', '음식', '하나', '본인', '배럴', '자랑', '순살']",-,0,0
9,만석닭강정,강원도 속초시 중앙로147번길 16,1577-9042,38.2047589,128.5902344,3.9,https://mp-seoul-image-production-s3.mangoplate.com/1823943_1629723856147227.jpg,"['닭강정', '만석닭강정', '만석', '매운맛', '포장', '생각', '순살', '유명', '양념', '보통맛', '튀김옷', '소스', '중앙시장', '양념치킨', '본점', '중앙', '여기', '이번', '치킨', '시장', '사람', '구매', '이곳', '근데', '리뷰', '맥주', '가격', '시간', '다음날', '한번', '다음', '명물', '정도', '택배', '속초가', '추천', '가능', '예전', '방문', '문제', '여행', '이유', '특별', '진짜', '가게', '닭강정집', '박스', '이후', '시식', '거기']",-,0,0
